term,estimate,std.error,statistic,p.value,model,ATE
Z,-1.8149263053544313,21.04868451334269,-0.08622516548261987,0.9313220819595147,OLS,5
Z,-0.16606687374065046,4.090119778531751,-0.04060195855688712,0.9676295276534268,OLS + controls,5
Z,-0.19176614650567822,4.051358911461243,-0.04733378372456072,0.9622662549306987,OLS + interaction,5
Z,5.166607519673559,0.5277386145792938,9.7900880794791,8.130344896556955e-21,RFA,5
Z,5.442328608830513,1.2293397910309967,4.427033639142402,1.1749294222625912e-5,SVM,5
Z,10.503423112907111,24.463130094419984,0.4293572847124306,0.6678489253666922,OLS,5
Z,-5.730600566862128,2.8879093091525974,-1.9843422882776276,0.047767229831866834,OLS + controls,5
Z,-5.768529362586571,2.92504979259653,-1.972113219127774,0.04915180916112174,OLS + interaction,5
Z,5.6675855433015485,0.3631897084113563,15.605027929046718,5.5348936621050054e-45,RFA,5
Z,3.714016263511742,1.1144796255913227,3.3325115849840254,9.246834071460126e-4,SVM,5
Z,23.664612392329513,21.95698691096942,1.077771394057123,0.2816575675914306,OLS,5
Z,3.3606967371544663,2.6921458134341245,1.2483338459544777,0.21249657011064832,OLS + controls,5
Z,3.4334391924891823,2.6976164933827564,1.2727677195447893,0.20369674588958867,OLS + interaction,5
Z,4.716850586419865,0.28283096723452394,16.677277713047044,6.174611372787435e-50,RFA,5
Z,5.189692247422454,1.1504940600138873,4.510837932844096,8.062411317130512e-6,SVM,5
Z,35.97943976348447,24.992798879889932,1.4395922576096416,0.1506110696584092,OLS,5
Z,-0.33732643478415925,4.02522434054283,-0.08380313896707392,0.9332466956239174,OLS + controls,5
Z,0.030554460436054535,4.3397982612527795,0.007040525526003209,0.9943853505611118,OLS + interaction,5
Z,4.965807455484532,1.3644286802813015,3.639477480391823,3.0173173046256355e-4,RFA,5
Z,3.7061515886058722,1.5307831858699468,2.4210819813125,0.015830832153188673,SVM,5
Z,30.0354565470094,20.068509015911136,1.4966461396407704,0.13511883913086567,OLS,5
Z,-1.2843168065009491,2.4553829373989005,-0.5230617134863227,0.6011644168089136,OLS + controls,5
Z,-0.9152086824449236,2.4828982257350596,-0.3686049927294047,0.7125794494309848,OLS + interaction,5
Z,5.009008886011158,0.5911566611607678,8.473234279684341,2.710951722874961e-16,RFA,5
Z,4.454233219332234,1.0255282466521205,4.343354982052676,1.7011158975764265e-5,SVM,5
Z,36.25785659745379,21.541521185235776,1.6831613833429906,0.09297058967804213,OLS,5
Z,1.4796551891829912,3.1161699050780216,0.4748313584480061,0.635115759740297,OLS + controls,5
Z,1.5148543593176398,3.163740692423501,0.47881748429806525,0.6322794840114031,OLS + interaction,5
Z,4.089356885335804,0.98448063389365,4.153821562911072,3.847679455407449e-5,RFA,5
Z,4.15365348219128,1.579863573723521,2.6291216224459752,0.008825181665640823,SVM,5
Z,-11.134460910207839,21.803165157420285,-0.5106809414970854,0.6098007844165032,OLS,5
Z,-0.08697242792318889,3.409130679157725,-0.02551161457520798,0.9796571242549423,OLS + controls,5
Z,0.03738678412300994,3.1572700759284245,0.011841490662472393,0.9905568395225064,OLS + interaction,5
Z,4.596048002748852,0.3705338764573006,12.403853722342413,5.6268917378226185e-31,RFA,5
Z,3.51779303183319,1.309198806118913,2.6869815458063235,0.007451188781886465,SVM,5
Z,16.66130708560975,22.729240550231967,0.7330340425931965,0.46388256518635074,OLS,5
Z,-2.5653455033106476,3.9520121456244786,-0.6491238915221713,0.5165581484136351,OLS + controls,5
Z,-1.6570202975701305,3.737427915841229,-0.4433584633289615,0.6576997949550718,OLS + interaction,5
Z,3.632710186334397,0.80088089684356,4.53589316545278,7.195617583684821e-6,RFA,5
Z,4.4481072901575125,1.1090767546117466,4.010639725033871,6.984383412945526e-5,SVM,5
Z,7.0395077685172796,22.84190847286876,0.3081838707513731,0.7580712866229271,OLS,5
Z,-4.222302640079224,2.8100206991831462,-1.502587735850707,0.1335804884020989,OLS + controls,5
Z,-4.186354180316348,2.7885625365907614,-1.5012588476622433,0.13392493082207638,OLS + interaction,5
Z,4.53474677606234,0.916374937099461,4.948571367977243,1.0245614929306164e-6,RFA,5
Z,3.0146871166730977,1.439457907612423,2.0943211334838203,0.03673622387465117,SVM,5
Z,35.331022552049184,21.468716832229287,1.645697916095736,0.10045691359032369,OLS,5
Z,0.294593549844258,2.735672344093888,0.10768597726268771,0.9142882505299167,OLS + controls,5
Z,0.18686222637558997,2.7667104943624157,0.06753949383441078,0.9461794387459945,OLS + interaction,5
Z,4.0486712586550615,0.7163537547614319,5.651776418765886,2.676363683985486e-8,RFA,5
Z,4.784966966483643,1.1508346386525259,4.1578232056746245,3.783142567981935e-5,SVM,5
Z,-21.279627449686203,22.07271010606172,-0.9640695386944027,0.33547896259659427,OLS,5
Z,-0.8240088985380378,3.858896227156249,-0.21353486853034082,0.8309973624471236,OLS + controls,5
Z,-0.8395029126601452,3.871505776757637,-0.21684144647285633,0.8284210710928382,OLS + interaction,5
Z,5.6324792313519945,0.7618210094141892,7.393441716293901,6.100719882318781e-13,RFA,5
Z,4.440197283602758,1.5395199557811223,2.88414402614865,0.004094752514929605,SVM,5
Z,-17.64550756788472,21.43974469032883,-0.8230278775588388,0.4108860690003635,OLS,5
Z,1.4813988651629004,2.797081057253178,0.529623144571177,0.596609738745919,OLS + controls,5
Z,1.3045743205764868,2.8721509273910364,0.454215099956992,0.6498727118136016,OLS + interaction,5
Z,5.646048247932508,0.4792416836095165,11.781212780591257,1.9711272486242997e-28,RFA,5
Z,3.6791149422532667,1.0189152676455453,3.61081540249639,3.3615628638544563e-4,SVM,5
Z,56.261350750387045,23.141614164416264,2.4311765960084752,0.01540167873035059,OLS,5
Z,-0.48301165587810313,3.1953150792220653,-0.15116244999403866,0.8799089051623452,OLS + controls,5
Z,-0.4127321002510387,3.327427519867723,-0.12403939613610164,0.9013343324405461,OLS + interaction,5
Z,5.478310143998044,0.5084354338929815,10.77483939711242,1.7792466867055434e-24,RFA,5
Z,5.769276642720346,1.4784421278972868,3.9022674840344918,0.00010839772021289772,SVM,5
Z,36.26076739599603,25.876941241390806,1.4012771856511401,0.16175406844483264,OLS,5
Z,-7.664001302729017,4.777563132645685,-1.60416536421255,0.1093128490375465,OLS + controls,5
Z,-7.152934304564024,4.881543154703729,-1.4653018682568937,0.14347216812813937,OLS + interaction,5
Z,4.0320708051677085,0.5498964210386832,7.33241870814807,9.214685578402914e-13,RFA,5
Z,5.093001875641451,1.5816319449436043,3.2200929501477984,0.0013651834441578518,SVM,5
Z,28.0268374720543,22.83847481357313,1.2271764073929174,0.2203361002110555,OLS,5
Z,2.858582363767483,3.3261931639004745,0.8594156210745603,0.39052558455657926,OLS + controls,5
Z,2.9988803210283064,3.2356953534730026,0.9268117030268276,0.35447505385753475,OLS + interaction,5
Z,5.41480306863493,0.7427741677756079,7.289972246679884,1.2256979995284164e-012,RFA,5
Z,6.63118044615313,1.263705176024175,5.247411003740538,2.286635459717715e-7,SVM,5
Z,1.0842085611130547,22.82081177045463,0.04750964041151002,0.9621260934383835,OLS,5
Z,-1.8164085769924525,3.251310445957376,-0.558669683250624,0.576638785874088,OLS + controls,5
Z,-2.028730718210441,3.3771292527088668,-0.6007264058913804,0.5482966260382054,OLS + interaction,5
Z,4.9446609620419375,0.46151708855123363,10.71392822650168,3.0404067495477292e-24,RFA,5
Z,4.081566084302473,1.3537455669624763,3.01501713757088,0.0027007830006298525,SVM,5
Z,16.059942326807622,22.90503878184852,0.7011532475349743,0.48353487601915635,OLS,5
Z,-2.6495116926432023,2.901054907348174,-0.9132925012664083,0.3615315474897033,OLS + controls,5
Z,-2.5793217989879387,3.036890848712524,-0.8493297676738795,0.39610756436912087,OLS + interaction,5
Z,4.306038048455103,0.9536883094921199,4.515141902859493,7.906712893618905e-6,RFA,5
Z,3.607666939646892,1.2865234704812558,2.804198308405019,0.0052412141965963634,SVM,5
Z,0.9989698008695445,22.468681397839372,0.04446054413169111,0.964555123587568,OLS,5
Z,2.159600208149776,3.5156936447147835,0.6142742873504773,0.5393151750654375,OLS + controls,5
Z,2.2045837525212355,3.4815021608184757,0.6332277421315614,0.5268767843545445,OLS + interaction,5
Z,4.7674503306422675,0.4904422288397292,9.72071744702925,1.4434099823700404e-20,RFA,5
Z,4.464054780243934,1.1227512582174055,3.975996239212881,8.046894247930265e-5,SVM,5
Z,17.91407936222049,23.572225394598135,0.7599655553236702,0.4476347894130679,OLS,5
Z,-0.18065457481486796,3.267527349494134,-0.055287853931149565,0.9559313565481045,OLS + controls,5
Z,-1.2355789922699056,3.2348286117445935,-0.3819611919419554,0.7026537409755546,OLS + interaction,5
Z,5.746656756202048,0.6499787300736634,8.841299707685463,1.6396862636089516e-17,RFA,5
Z,6.571525564005737,1.3538557341081945,4.853933398106483,1.622290507477088e-6,SVM,5
Z,2.140295888794817,20.57388719936447,0.10402972797775088,0.9171876386016539,OLS,5
Z,3.265859287161855,2.478230287269799,1.3178191324421937,0.18817130513178282,OLS + controls,5
Z,3.005524315468725,2.492116639745181,1.2060126992194233,0.2283875547823698,OLS + interaction,5
Z,5.0872654011015275,0.35727759193997194,14.238971365313796,7.681678333777926e-39,RFA,5
Z,4.355736495003712,1.041614350725663,4.181717054847789,3.4187298006482816e-5,SVM,5
Z,28.851079942881665,22.460587237306825,1.2845202860484561,0.1995571624005611,OLS,5
Z,0.6149402852888834,3.024149016881008,0.2033432485820786,0.8389499798974809,OLS + controls,5
Z,0.5857621983515042,3.0296517366802833,0.1933430800839665,0.8467694369420282,OLS + interaction,5
Z,6.276143159910221,0.8949187635203997,7.013087014983742,7.636376118714505e-12,RFA,5
Z,5.841819310669325,1.372116692663258,4.257523679950603,2.471179182062147e-5,SVM,5
Z,6.9414896389581,22.86340285301788,0.303607021386226,0.7615541025511635,OLS,5
Z,2.006639047060405,3.545848370874245,0.5659122548902618,0.5717088440090545,OLS + controls,5
Z,1.9255030006993674,3.46344184625063,0.55595072363748,0.5784952342503535,OLS + interaction,5
Z,5.062777214465734,0.46230054140912186,10.95126819240588,3.730396735376575e-25,RFA,5
Z,2.217556557558755,1.156598568621424,1.917308751472787,0.05577049946940991,SVM,5
Z,11.74360047038611,22.7236017784685,0.516801895442193,0.6055238847783182,OLS,5
Z,-0.5508815093178057,3.1143869368384713,-0.17688280887699387,0.8596725003747718,OLS + controls,5
Z,-1.2157182750043727,3.0822877074510013,-0.3944207648317654,0.6934399461984133,OLS + interaction,5
Z,4.162293715953602,1.0778417613088438,3.8616927506123435,1.274557323724224e-4,RFA,5
Z,3.1410715521693997,2.2237507926528735,1.412510593609362,0.15842428587322085,SVM,5
Z,7.561011923910947,19.70526956741661,0.38370507432252327,0.7013608101663948,OLS,5
